Serial,label
42144,9
58372,9
0,5
22598,3
1152,0
16898,6
17422,1
30376,2
24053,9
46514,7
6256,4
47961,4
17364,8
10711,8
2655,5
16029,3
48392,3
1549,2
27475,2
47132,2
54358,4
7750,8
43319,5
5432,3
27160,3
27704,6
36415,6
49953,0
6422,0
35767,1
16039,9
33362,7
39305,7
41258,5
36987,5
42617,8
13055,8
16145,8
9668,2
9737,2
9903,1
33842,1
14879,1
30493,1
12949,1
8087,1
11399,7
21871,7
51203,7
7737,7
35024,9
32648,9
43453,9
170,9
11078,9
11930,4
16808,9
16314,4
8583,4
21731,4
23212,4
34052,9
4773,0
27646,8
8515,0
41265,0
40565,0
26656,0
47415,6
40228,0
16866,0
8526,6
55824,6
31040,6
4392,6
5517,6
33030,6
30182,6
2741,6
25963,6
13523,2
42633,2
46663,2
24876,2
49056,7
24853,2
35443,2
41900,2
47900,2
39597,2
25362,8
14626,8
51899,8
9839,8
45765,8
49236,5
3563,5
28803,3
24479,8
56262,5
18744,9
27546,7
6740,7
4396,7
21803,7
13244,7
46200,8
44771,4
41502,9
36647,4
19295,9
55595,9
28173,4
10102,9
2795,9
23661,7
18797,9
29552,9
27591,4
43890,7
4161,9
38776,7
4559,7
18265,7
32390,8
33414,2
57366,2
24124,2
13330,2
34964,2
18017,2
24442,3
26057,3
38322,6
56999,5
14632,6
17037,3
15616,8
16750,8
5248,8
25405,6
46674,3
40642,6
11428,0
18836,0
15242,0
48351,8
28241,8
20739,2
28014,2
16544,2
30725,4
55423,4
35003,4
40285,4
11629,4
28655,4
49138,4
59021,9
24029,9
34903,9
5705,9
58898,9
22988,4
34357,4
51334,9
22552,9
15693,9
15658,9
6934,9
11737,2
47912,2
19745,6
27278,8
45639,8
36732,3
29014,3
29097,3
59300,4
18612,4
56938,5
15562,9
38604,5
32875,5
43936,5
49895,5
39666,5
1162,5
43820,5
54934,5
8022,5
41548,5
48825,5
6840,5
21289,5
23407,5
55376,5
27499,5
12566,5
21734,5
17948,8
54624,8
57728,9
16022,8
11586,8
41464,8
42533,8
59466,8
45968,8
47635,8
55696,8
21399,8
27105,8
14184,3
52590,3
52388,5
44504,3
50033,3
36409,3
18739,3
23962,3
22717,3
23202,3
41590,3
19584,0
50586,0
43102,0
21848,0
29478,0
11643,5
18701,5
48854,4
49655,5
53797,5
42252,5
28751,8
39689,5
18644,8
10589,5
17385,5
3364,6
22293,3
28709,3
47309,8
42104,8
13024,7
6792,8
17055,8
26443,8
12268,8
51158,8
56842,8
49744,8
41753,3
47312,8
28364,8
55604,8
53906,8
43534,8
22186,5
6606,8
45493,8
26852,8
28710,8
50074,8
10710,8
7320,8
31906,8
18396,8
41034,8
38053,3
17632,3
2468,3
32664,3
13576,3
37718,3
38714,3
16019,3
30729,3
35630,2
37655,2
21278,3
15774,3
3952,6
53978,5
33758,3
26206,5
25762,6
54172,6
15698,5
47358,6
17059,6
38071,5
49636,5
13620,8
36383,6
22210,6
35993,6
46392,6
43874,2
51729,6
34589,6
11162,0
52245,0
17709,0
39474,0
50947,9
3265,9
15326,9
14407,9
51796,9
4219,9
24553,9
2579,9
38153,9
28789,9
38583,4
36339,4
13128,4
10525,4
6312,4
32997,4
44885,4
22839,4
9391,4
53925,4
41576,4
23871,4
52971,2
53029,2
36450,2
14830,8
59792,7
51103,7
55607,4
40299,4
20794,4
991,4
1149,4
4780,4
2052,4
41114,9
29794,4
33551,4
39813,7
47931,7
50371,7
54760,7
36889,7
9740,7
56472,7
50224,7
39010,7
6835,7
8604,7
57376,7
45446,7
46673,7
57412,1
59382,1
46342,1
31280,1
2316,1
5020,1
51454,4
53649,4
17898,4
54921,4
51951,4
1244,3
36973,9
6634,9
34330,9
31376,9
14305,9
42051,8
58854,9
45445,9
36867,4
11126,4
10631,4
36007,9
6843,7
24378,4
36771,9
1811,9
23989,9
16477,9
51036,9
53735,9
17720,9
27055,4
12788,4
52417,4
2578,4
9149,4
1037,4
27695,4
44689,4
47541,4
43473,4
31601,4
18455,4
20337,4
35545,5
1227,4
15161,4
20702,4
5448,7
58284,9
23166,9
58838,9
21213,9
54292,2
52029,6
24213,2
57959,6
5832,6
13224,6
33581,9
3010,7
46103,1
55506,5
26872,4
52439,5
25565,9
37176,4
34496,9
3183,4
25888,7
37631,2
48323,2
33032,6
23441,2
50108,6
18610,9
8690,8
16969,4
33364,2
35469,7
22225,0
55184,5
20304,7
